,name_state,y0_sum,y1_sum,y2_sum,p_02_mean,p_02_median,p_02_low_90,p_02_high_90,p_12_mean,p_12_median,p_12_low_90,p_12_high_90
18,LA,197.0,221.0,221.0,0.8966942148760331,0.8977869763864059,0.8628118098192077,0.9268464492943849,0.9963235294117647,0.9974455295528915,0.989006512315835,0.9998107437621901
19,MA,75.0,86.0,86.0,0.8878504672897196,0.8902674601851437,0.8340795756961735,0.9333639792559124,0.9927007299270073,0.994916295542379,0.978213389388998,0.9996229145382218
20,MD,82.0,98.0,98.0,0.8571428571428571,0.8591460352908549,0.8013665807178809,0.9060770738681331,0.9932885906040269,0.9953275232466682,0.9799620483108958,0.9996534837372035
21,ME,9.0,11.0,12.0,0.8787878787878788,0.8864451662630124,0.7751838914107743,0.9561545559073756,0.9682539682539683,0.9730774492613251,0.9257578410169833,0.9942382135845311
22,MI,88.0,97.0,97.0,0.9152542372881356,0.9175971488691922,0.8696081853375317,0.9528961805784238,0.9932432432432432,0.9952958125702418,0.9798271199313364,0.999651126894954
23,MN,49.0,52.0,52.0,0.9452054794520548,0.9492364710597792,0.895819590220702,0.9808031454787267,0.9902912621359223,0.9932274770141413,0.9710571804170737,0.9994972509854874
24,MO,53.0,56.0,56.0,0.948051948051948,0.9518964359749619,0.901129923160147,0.9818247248175549,0.9906542056074766,0.9934822092024591,0.9721339987547098,0.9995162180565842
25,MS,40.0,44.0,44.0,0.9230769230769231,0.9273983148214676,0.8626601191874561,0.9687123203272872,0.9894736842105263,0.9926532143675867,0.9686329879212123,0.9994544755080749
26,MT,8.0,11.0,11.0,0.875,0.8828217053325832,0.7684970248566316,0.9546998269773581,0.9838709677419355,0.9887012472906053,0.9520760478933926,0.9991594797567154
27,NC,173.0,287.0,289.0,0.6225806451612903,0.6228445862411447,0.5769118818239598,0.6673486755239704,0.9911764705882353,0.9921197536660656,0.9815456575249009,0.9975837099731871
28,ND,3.0,3.0,3.0,0.9583333333333334,0.9703127527497981,0.8778766110934769,0.9977723416875942,0.9814814814814815,0.9870069000017986,0.9450445115348222,0.9990326701581371
29,NE,3.0,3.0,3.0,0.9583333333333334,0.9703127527497981,0.8778766110934769,0.9977723416875942,0.9814814814814815,0.9870069000017986,0.9450445115348222,0.9990326701581371
30,NH,14.0,16.0,17.0,0.8947368421052632,0.9016512858384947,0.8035710601755338,0.9622199897340751,0.9705882352941176,0.9750764379505508,0.9311438393660663,0.9946703024412744
31,NJ,129.0,129.0,129.0,0.9933333333333333,0.9953588092664996,0.9800951837793149,0.999655808949432,0.9944444444444445,0.9961351571863506,0.9834033332548668,0.9997134863356327
32,NM,30.0,31.0,31.0,0.9615384615384616,0.9673091500837798,0.9103284617085715,0.9929874560484803,0.9878048780487805,0.9914791374956781,0.9636912179080958,0.9993669499128176
33,NV,28.0,28.0,28.0,0.9795918367346939,0.9856631986401876,0.9394965906511057,0.9989319604609207,0.9873417721518988,0.9911528659451397,0.9623213657990315,0.9993426098373573
34,NY,458.0,500.0,524.0,0.8770642201834863,0.8775255319656627,0.853186194879038,0.8993681899619392,0.9565217391304348,0.9570502934509002,0.9416995327220313,0.9695402403837546
35,OH,136.0,137.0,137.0,0.9873417721518988,0.9893329535202737,0.9701421879787019,0.9977318825332285,0.9946808510638298,0.9963001918042745,0.9841076783669632,0.9997257419237119
36,OK,18.0,18.0,22.0,0.8837209302325582,0.8896716886554838,0.7951694300776027,0.9519005664805147,0.9315068493150684,0.9354276223184862,0.8773651505426466,0.9722399646704919
37,OR,25.0,32.0,32.0,0.8490566037735849,0.8534597482305746,0.7619739136254899,0.9210772755250911,0.9879518072289156,0.9915826118753231,0.9641259682893288,0.9993746676215042
38,PA,377.0,321.0,321.0,1.0,,,,0.9973118279569892,0.998133422984302,0.9919577631599004,0.9998617526988515
39,PR,292.0,277.0,277.0,1.0,,,,0.9969512195121951,0.997882528863231,0.990880575718284,0.9998431520744374
40,RI,12.0,10.0,10.0,1.0,,,,0.9836065573770492,0.9885140203528962,0.9512970866899025,0.9991454770730508
41,SC,59.0,60.0,60.0,0.9753086419753086,0.9791093627691789,0.9420713178822183,0.9955399208361181,0.990990990990991,0.9937184737897888,0.9731335699937322,0.9995338060259458
42,SD,4.0,4.0,4.0,0.96,0.9715319411536059,0.8826538438450512,0.9978650616302984,0.9818181818181818,0.9872459719454069,0.9460342329026237,0.999050575167241
43,TN,90.0,96.0,96.0,0.9401709401709402,0.942668780922803,0.9004679553873556,0.9713387379482804,0.9931972789115646,0.9952636685321292,0.9796903621792112,0.9996487377728654
44,TX,682.0,694.0,698.0,0.9763560500695411,0.9767965123622463,0.9663502486797991,0.9848586826539576,0.9933244325767691,0.9937582690710686,0.9878047833810295,0.9973625267928538
45,USA,5434.0,5732.0,5797.0,0.9374355448607768,0.9374856660237474,0.9321293799586128,0.9425707360152527,0.9887140902872777,0.9887697584344883,0.9863511666959961,0.9908871060326802
46,UT,27.0,26.0,26.0,1.0,,,,0.987012987012987,0.9909211066705921,0.9613492332742745,0.9993253159334612
47,VA,91.0,94.0,94.0,0.9652173913043478,0.9678837072502648,0.933391945762338,0.9879276465480769,0.993103448275862,0.9951980443443538,0.9794112077005042,0.9996438599996642
48,VT,2.0,2.0,2.0,0.9565217391304348,0.9689844739012624,0.8726945683451612,0.9976712024849683,0.9811320754716981,0.9867586942598652,0.9440178198737644,0.9990140768344814
49,WA,56.0,56.0,56.0,0.987012987012987,0.9909211066705921,0.9613492332742745,0.9993253159334612,0.9906542056074766,0.9934822092024591,0.9721339987547098,0.9995162180565842
50,WI,26.0,26.0,26.0,0.9787234042553191,0.9850445435358739,0.9369506983259455,0.9988855498442222,0.987012987012987,0.9909211066705921,0.9613492332742745,0.9993253159334612
51,WV,0.0,2.0,2.0,0.8695652173913043,0.8802959460341628,0.7405334677715627,0.961776488993582,0.9811320754716981,0.9867586942598652,0.9440178198737644,0.9990140768344814
52,WY,5.0,8.0,8.0,0.8620689655172413,0.8704170685688211,0.7458302635490857,0.9496918277791873,0.9830508474576272,0.9881203138880517,0.9496606616695799,0.9991160237927578
