model,fips_state,hyperparameter,initial_guess,season_2025-2026,exclude_None
SIR-1S,2,delta_beta_temporal_sigma_11,0.007281284,0.015029453,0.0232433
SIR-1S,4,rho_h_s_0,0.3690326064930855,0.185684262,0.1263238163496724
SIR-1S,4,rho_h_scale_0,0.008864837,0.015998672,0.01622382
SIR-1S,4,f_R_mu_0,0.2692446740833771,0.309808079,0.3320538469490264
SIR-1S,4,f_R_sigma_0,0.031268023,0.029238046,0.033567859
SIR-1S,4,f_I_s_0,0.4365716100184872,0.137632278,0.09838136
SIR-1S,4,f_I_scale_0,2.6457698130524156e-05,3.05e-05,3.9782179957865144e-05
SIR-1S,4,beta_mu_0,0.4571388129873361,0.463357581,0.4635867178913246
SIR-1S,4,beta_sigma_0,0.005072096,0.01191333,0.011971896
SIR-1S,4,delta_beta_temporal_mu_0,-0.009893957,0.042411771,0.009403678
SIR-1S,4,delta_beta_temporal_mu_1,0.00240163,0.066379397,0.051413195
SIR-1S,4,delta_beta_temporal_mu_2,-0.017769074,-0.001292114,0.024949408
SIR-1S,4,delta_beta_temporal_mu_3,0.013761278,0.005441252,0.036192871
SIR-1S,4,delta_beta_temporal_mu_4,0.1311402321634866,0.120960498,0.1789274440699752
SIR-1S,4,delta_beta_temporal_mu_5,-0.167220698,-0.152343892,-0.169407182
SIR-1S,4,delta_beta_temporal_mu_6,-0.072337616,-0.077071583,-0.043363139
SIR-1S,4,delta_beta_temporal_mu_7,-0.042381014,-0.099628144,-0.023269306
SIR-1S,4,delta_beta_temporal_mu_8,-0.010240235,0.019038288,-0.013132658
SIR-1S,4,delta_beta_temporal_mu_9,-0.052426297,-0.049700638,-0.057329695
SIR-1S,4,delta_beta_temporal_mu_10,-0.053527699,-0.050720915,-0.071638266
SIR-1S,4,delta_beta_temporal_mu_11,-0.014273119,-0.002883337,-0.045656366
SIR-1S,4,delta_beta_temporal_sigma_0,0.065980565,0.059111308,0.043718334
SIR-1S,4,delta_beta_temporal_sigma_1,0.031504915,0.051720004,0.031993745
SIR-1S,4,delta_beta_temporal_sigma_2,0.032837906,0.0190476,0.029552704
SIR-1S,4,delta_beta_temporal_sigma_3,0.043883523,0.055150494,0.045380401
SIR-1S,4,delta_beta_temporal_sigma_4,0.059309583,0.04463467,0.1037475512200396
SIR-1S,4,delta_beta_temporal_sigma_5,0.01613479,0.024671934,0.026924059
SIR-1S,4,delta_beta_temporal_sigma_6,0.042284101,0.053582691,0.041868607
SIR-1S,4,delta_beta_temporal_sigma_7,0.1407408358003406,0.152043977,0.1469863450906273
SIR-1S,4,delta_beta_temporal_sigma_8,0.03620507,0.022532255,0.054848638
SIR-1S,4,delta_beta_temporal_sigma_9,0.02719979,0.029950756,0.0466837
SIR-1S,4,delta_beta_temporal_sigma_10,0.029795059,0.047188276,0.050786354
SIR-1S,4,delta_beta_temporal_sigma_11,0.056564651,0.051173333,0.043292595
SIR-1S,5,rho_h_s_0,0.2261577145013908,0.088815447,0.2152848960065095
SIR-1S,5,rho_h_scale_0,0.005613987,0.008666656,0.008011945
SIR-1S,5,f_R_mu_0,0.2878942564704304,0.332659779,0.3362924393925093
SIR-1S,5,f_R_sigma_0,0.009025689,0.025918017,0.016700889
SIR-1S,5,f_I_s_0,1.0847330016201864,0.445704417,0.2247118464128073
SIR-1S,5,f_I_scale_0,1.9456818470521587e-05,6.53e-05,5.539757557805658e-05
SIR-1S,5,beta_mu_0,0.4714068560394889,0.470532761,0.4772429571627525
SIR-1S,5,beta_sigma_0,0.006383035,0.010534368,0.010601843
SIR-1S,5,delta_beta_temporal_mu_0,-0.051041738,-0.042384431,-0.046404208
SIR-1S,5,delta_beta_temporal_mu_1,-0.024297614,-0.033186086,-0.005307231
SIR-1S,5,delta_beta_temporal_mu_2,-0.002612685,-0.001789893,0.012031349
SIR-1S,5,delta_beta_temporal_mu_3,0.004623493,0.004335963,-0.00706928
SIR-1S,5,delta_beta_temporal_mu_4,0.1212228864886599,0.215148793,0.2109502756043419
SIR-1S,5,delta_beta_temporal_mu_5,-0.077693758,-0.001944405,-0.071334192
SIR-1S,5,delta_beta_temporal_mu_6,0.044236449,0.06006291,0.045901092
SIR-1S,5,delta_beta_temporal_mu_7,0.078951071,0.064084987,0.057852114
SIR-1S,5,delta_beta_temporal_mu_8,0.007245469,0.011361,0.004533953
SIR-1S,5,delta_beta_temporal_mu_9,0.050829063,0.072713437,0.027048679
SIR-1S,5,delta_beta_temporal_mu_10,-0.030228913,-0.060585684,-0.090878023
SIR-1S,5,delta_beta_temporal_mu_11,-0.000978541,0.001176616,-0.004608746
SIR-1S,5,delta_beta_temporal_sigma_0,0.014302555,0.070258216,0.043864788
SIR-1S,5,delta_beta_temporal_sigma_1,0.017575924,0.042066208,0.041984586
SIR-1S,5,delta_beta_temporal_sigma_2,0.033364124,0.034801794,0.057088213
SIR-1S,5,delta_beta_temporal_sigma_3,0.017206677,0.044057818,0.034511151
SIR-1S,5,delta_beta_temporal_sigma_4,0.020514644,0.053607909,0.036596339
SIR-1S,5,delta_beta_temporal_sigma_5,0.074655589,0.047817411,0.091642819
SIR-1S,5,delta_beta_temporal_sigma_6,0.044414255,0.089057495,0.07517031
SIR-1S,5,delta_beta_temporal_sigma_7,0.046011974,0.03186532,0.035111636
SIR-1S,5,delta_beta_temporal_sigma_8,0.063266452,0.06684105,0.044839881
SIR-1S,5,delta_beta_temporal_sigma_9,0.024162444,0.014346546,0.042941867
SIR-1S,5,delta_beta_temporal_sigma_10,0.012129117,0.049798929,0.035487464
SIR-1S,5,delta_beta_temporal_sigma_11,0.032208208,0.04622515,0.03637007
SIR-1S,6,rho_h_s_0,0.43611524,0.390701729,0.3003478864692868
SIR-1S,6,rho_h_scale_0,0.005589986,0.006532183,0.008265613
SIR-1S,6,f_R_mu_0,0.2988774235744184,0.348432955,0.3417013899193333
SIR-1S,6,f_R_sigma_0,0.041396165,0.030232198,0.021669102
SIR-1S,6,f_I_s_0,0.9409932114594346,0.559997656,0.4196532873113711
SIR-1S,6,f_I_scale_0,4.566311705589499e-05,5.42e-05,6.249001137161243e-05
SIR-1S,6,beta_mu_0,0.4534124352773851,0.472783956,0.4576414522417024
SIR-1S,6,beta_sigma_0,0.008179003,0.014807213,0.009610845
SIR-1S,6,delta_beta_temporal_mu_0,-0.029640232,-0.010665844,0.001960376
SIR-1S,6,delta_beta_temporal_mu_1,0.061898364,0.146719457,0.084412194
SIR-1S,6,delta_beta_temporal_mu_2,0.055330272,0.094078008,0.085343843
SIR-1S,6,delta_beta_temporal_mu_3,0.075157,0.076608529,0.1125071639461014
SIR-1S,6,delta_beta_temporal_mu_4,0.1493432421389937,0.140728229,0.1766631179254538
SIR-1S,6,delta_beta_temporal_mu_5,-0.088586078,-0.095820762,-0.068932454
SIR-1S,6,delta_beta_temporal_mu_6,0.004448859,-0.00071318,0.01072068
SIR-1S,6,delta_beta_temporal_mu_7,-0.01990795,-0.048278772,-0.00412028
SIR-1S,6,delta_beta_temporal_mu_8,-0.075742381,-0.05786578,-0.079306185
SIR-1S,6,delta_beta_temporal_mu_9,-0.051283764,-0.016461878,-0.051127888
SIR-1S,6,delta_beta_temporal_mu_10,-0.016465375,0.00428974,-0.018860249
SIR-1S,6,delta_beta_temporal_mu_11,0.012249729,0.053061719,-0.003125971
SIR-1S,6,delta_beta_temporal_sigma_0,0.01554702,0.026692097,0.026287258
SIR-1S,6,delta_beta_temporal_sigma_1,0.084686279,0.085695403,0.1275286804928889
SIR-1S,6,delta_beta_temporal_sigma_2,0.030555777,0.040599161,0.039904979
SIR-1S,6,delta_beta_temporal_sigma_3,0.03947185,0.034924621,0.020756596
SIR-1S,6,delta_beta_temporal_sigma_4,0.058596985,0.025472594,0.058159211
SIR-1S,6,delta_beta_temporal_sigma_5,0.043433424,0.025330247,0.03736493
SIR-1S,6,delta_beta_temporal_sigma_6,0.030458199,0.077908916,0.065375671
SIR-1S,6,delta_beta_temporal_sigma_7,0.074308912,0.013840116,0.074970383
SIR-1S,6,delta_beta_temporal_sigma_8,0.061647618,0.072315876,0.043528717
SIR-1S,6,delta_beta_temporal_sigma_9,0.046362982,0.049909742,0.048354629
SIR-1S,6,delta_beta_temporal_sigma_10,0.070006701,0.066348575,0.064072147
SIR-1S,6,delta_beta_temporal_sigma_11,0.086866013,0.069395065,0.074408209
SIR-1S,8,rho_h_s_0,0.195412899,0.248062322,0.1746521542936305
SIR-1S,8,rho_h_scale_0,0.004578732,0.006432608,0.006035099
SIR-1S,8,f_R_mu_0,0.2815956687498694,0.335501449,0.3225586130494467
SIR-1S,8,f_R_sigma_0,0.012357618,0.023009585,0.016796382
SIR-1S,8,f_I_s_0,0.7661689956126437,0.372764453,0.3041121596802845
SIR-1S,8,f_I_scale_0,1.9411199155353946e-05,4.73e-05,3.746858067263133e-05
SIR-1S,8,beta_mu_0,0.4700615612826566,0.476389589,0.4779382690445757
SIR-1S,8,beta_sigma_0,0.001146579,0.007780826,0.005055747
SIR-1S,8,delta_beta_temporal_mu_0,-0.015461834,-0.007984002,-0.00719632
SIR-1S,8,delta_beta_temporal_mu_1,0.030673533,0.09062374,0.061119136
SIR-1S,8,delta_beta_temporal_mu_2,0.025748703,0.016346691,0.025273396
SIR-1S,8,delta_beta_temporal_mu_3,0.001034264,0.00874058,0.007899364
SIR-1S,8,delta_beta_temporal_mu_4,0.1352681032348932,0.143954445,0.15460605
SIR-1S,8,delta_beta_temporal_mu_5,-0.118042815,-0.070190586,-0.113698824
SIR-1S,8,delta_beta_temporal_mu_6,-0.096532438,-0.023096343,-0.071054151
SIR-1S,8,delta_beta_temporal_mu_7,0.037119103,0.057822915,0.038417557
SIR-1S,8,delta_beta_temporal_mu_8,0.014130678,-0.033170835,-0.010818178
SIR-1S,8,delta_beta_temporal_mu_9,0.034049314,0.01103819,0.015008698
SIR-1S,8,delta_beta_temporal_mu_10,0.00153418,0.007400866,-0.003077913
SIR-1S,8,delta_beta_temporal_mu_11,0.017853678,-0.003756849,-0.002343922
SIR-1S,8,delta_beta_temporal_sigma_0,0.007804451,0.017629201,0.021073353
SIR-1S,8,delta_beta_temporal_sigma_1,0.04418246,0.08063436,0.065869323
SIR-1S,8,delta_beta_temporal_sigma_2,0.030138033,0.021393866,0.039158271
SIR-1S,8,delta_beta_temporal_sigma_3,0.017273709,0.011599616,0.028610606
SIR-1S,8,delta_beta_temporal_sigma_4,0.060238992,0.123263414,0.085456769
SIR-1S,8,delta_beta_temporal_sigma_5,0.051668874,0.041454527,0.063487171
SIR-1S,8,delta_beta_temporal_sigma_6,0.065834282,0.041954857,0.082782085
SIR-1S,8,delta_beta_temporal_sigma_7,0.028541412,0.073086086,0.044833061
SIR-1S,8,delta_beta_temporal_sigma_8,0.049424487,0.026193946,0.036175098
SIR-1S,8,delta_beta_temporal_sigma_9,0.048561168,0.04124977,0.041019762
SIR-1S,8,delta_beta_temporal_sigma_10,0.057082126,0.062557969,0.042405678
SIR-1S,8,delta_beta_temporal_sigma_11,0.012717168,0.041194407,0.028444787
SIR-1S,9,rho_h_s_0,0.1044843847258878,0.188608471,0.1106746822861046
SIR-1S,9,rho_h_scale_0,0.004896958,0.006439952,0.005639552
SIR-1S,9,f_R_mu_0,0.2884898202471521,0.339843236,0.3229428601464351
SIR-1S,9,f_R_sigma_0,0.010833746,0.030407165,0.021867624
SIR-1S,9,f_I_s_0,0.9506958116294204,0.615984613,0.3211228937798448
SIR-1S,9,f_I_scale_0,9.208871959337918e-06,3.31e-05,2.255735294878875e-05
SIR-1S,9,beta_mu_0,0.4816041307629043,0.474265292,0.486868861
SIR-1S,9,beta_sigma_0,0.007604885,0.017062043,0.012597988
SIR-1S,9,delta_beta_temporal_mu_0,-0.039294689,-0.047246996,-0.056433476
SIR-1S,9,delta_beta_temporal_mu_1,-0.029481983,-0.009991133,-0.01968609
SIR-1S,9,delta_beta_temporal_mu_2,0.029411424,0.026453497,0.033719127
SIR-1S,9,delta_beta_temporal_mu_3,0.047986466,0.046013765,0.038930128
SIR-1S,9,delta_beta_temporal_mu_4,0.1252653982917852,0.117464146,0.1242032080984754
SIR-1S,9,delta_beta_temporal_mu_5,-0.095627869,-0.044202634,-0.076100004
SIR-1S,9,delta_beta_temporal_mu_6,-0.102941289,-0.01597352,-0.057401977
SIR-1S,9,delta_beta_temporal_mu_7,-0.01825315,0.031023969,0.01015558
SIR-1S,9,delta_beta_temporal_mu_8,0.0326599,0.021577677,0.030638192
SIR-1S,9,delta_beta_temporal_mu_9,0.013395844,-0.013001695,-0.004078577
SIR-1S,9,delta_beta_temporal_mu_10,0.040207324,-0.013069302,0.010540634
SIR-1S,9,delta_beta_temporal_mu_11,0.061945669,0.059200764,0.077098542
SIR-1S,9,delta_beta_temporal_sigma_0,0.006565038,0.025702765,0.025593302
SIR-1S,9,delta_beta_temporal_sigma_1,0.025785984,0.047537955,0.04798096
SIR-1S,9,delta_beta_temporal_sigma_2,0.049344934,0.112386279,0.07204626
SIR-1S,9,delta_beta_temporal_sigma_3,0.029156119,0.052951536,0.039211817
SIR-1S,9,delta_beta_temporal_sigma_4,0.0709041,0.123929651,0.092541748
SIR-1S,9,delta_beta_temporal_sigma_5,0.033359311,0.020733979,0.047287965
SIR-1S,9,delta_beta_temporal_sigma_6,0.1104041505573155,0.064922059,0.1373553518353155
SIR-1S,9,delta_beta_temporal_sigma_7,0.04180051,0.049962151,0.048004763
SIR-1S,9,delta_beta_temporal_sigma_8,0.081419595,0.113318757,0.077354497
SIR-1S,9,delta_beta_temporal_sigma_9,0.0701187,0.052062208,0.04939058
SIR-1S,9,delta_beta_temporal_sigma_10,0.060034889,0.028158366,0.041938611
SIR-1S,9,delta_beta_temporal_sigma_11,0.02594615,0.050126842,0.032427993
SIR-1S,10,rho_h_s_0,0.3809140341335001,0.213695659,0.2621038109294216
SIR-1S,10,rho_h_scale_0,0.004847211,0.008185368,0.008910742
SIR-1S,10,f_R_mu_0,0.28214221,0.354983726,0.3396592117599302
SIR-1S,10,f_R_sigma_0,0.016275796,0.033187892,0.020686129
SIR-1S,10,f_I_s_0,0.9045377858383676,0.194621222,0.2040720043061379
SIR-1S,10,f_I_scale_0,1.4591495669647613e-05,7.23e-05,4.1929079703246415e-05
SIR-1S,10,beta_mu_0,0.4740419005660062,0.474406651,0.4775159849594151
SIR-1S,10,beta_sigma_0,0.004035989,0.014455871,0.012245553
SIR-1S,10,delta_beta_temporal_mu_0,-0.049446082,-0.060829537,-0.001417641
SIR-1S,10,delta_beta_temporal_mu_1,-0.029221537,-0.012747659,-0.001902972
SIR-1S,10,delta_beta_temporal_mu_2,-0.008767621,-0.005156683,0.001934645
SIR-1S,10,delta_beta_temporal_mu_3,0.059204619,0.080934147,0.074680354
SIR-1S,10,delta_beta_temporal_mu_4,0.1284163894880487,0.247755207,0.2638453762220463
SIR-1S,10,delta_beta_temporal_mu_5,-0.069059226,-0.075228929,-0.070663722
SIR-1S,10,delta_beta_temporal_mu_6,-0.038440322,-0.029878829,-0.028140097
SIR-1S,10,delta_beta_temporal_mu_7,0.056887878,0.051719591,0.045273221
SIR-1S,10,delta_beta_temporal_mu_8,0.047482193,-0.004602786,0.020748584
SIR-1S,10,delta_beta_temporal_mu_9,0.041923746,-0.004801145,-0.001818287
SIR-1S,10,delta_beta_temporal_mu_10,0.024708936,-0.008132007,-0.002859915
SIR-1S,10,delta_beta_temporal_mu_11,0.006088234,-0.027125734,-0.000590176
SIR-1S,10,delta_beta_temporal_sigma_0,0.006229165,0.056062565,0.025476823
SIR-1S,10,delta_beta_temporal_sigma_1,0.00184829,0.045702454,0.016658229
SIR-1S,10,delta_beta_temporal_sigma_2,0.014964085,0.038919407,0.034226378
SIR-1S,10,delta_beta_temporal_sigma_3,0.014276783,0.047246354,0.041388666
SIR-1S,10,delta_beta_temporal_sigma_4,0.02668337,0.054325765,0.043829083
SIR-1S,10,delta_beta_temporal_sigma_5,0.023209563,0.06620984,0.037122127
SIR-1S,10,delta_beta_temporal_sigma_6,0.023201903,0.032786518,0.068960229
SIR-1S,10,delta_beta_temporal_sigma_7,0.059764263,0.089869766,0.073246885
SIR-1S,10,delta_beta_temporal_sigma_8,0.034319785,0.051143635,0.044606632
SIR-1S,10,delta_beta_temporal_sigma_9,0.01963337,0.021523347,0.043817048
SIR-1S,10,delta_beta_temporal_sigma_10,0.016297049,0.036725248,0.032188032
SIR-1S,10,delta_beta_temporal_sigma_11,0.01221627,0.005906179,0.032261155
SIR-1S,11,rho_h_s_0,0.4374352469793595,0.196903313,0.2573812345238881
SIR-1S,11,rho_h_scale_0,0.004834241,0.010065691,0.009798338
SIR-1S,11,f_R_mu_0,0.2823669983985529,0.34588798,0.3414769076559227
SIR-1S,11,f_R_sigma_0,0.012115212,0.027759006,0.020322003
SIR-1S,11,f_I_s_0,1.1336197531267571,0.38656933,0.1833586027906049
SIR-1S,11,f_I_scale_0,1.739983636921473e-05,2.69e-05,5.528650078609525e-05
SIR-1S,11,beta_mu_0,0.4756490523692496,0.478245437,0.4814865398190748
SIR-1S,11,beta_sigma_0,0.006381579,0.018943,0.010959186
SIR-1S,11,delta_beta_temporal_mu_0,-0.041741893,-0.014488639,-0.010180594
SIR-1S,11,delta_beta_temporal_mu_1,-0.017394379,0.015230833,0.001232827
SIR-1S,11,delta_beta_temporal_mu_2,0.004404968,0.008843569,0.024626461
SIR-1S,11,delta_beta_temporal_mu_3,0.027037154,0.038029338,0.030743943
SIR-1S,11,delta_beta_temporal_mu_4,0.090672199,0.156722728,0.1590693436128308
SIR-1S,11,delta_beta_temporal_mu_5,-0.02598448,-0.086656111,-0.06151685
SIR-1S,11,delta_beta_temporal_mu_6,0.002192209,0.014771702,-0.00356832
SIR-1S,11,delta_beta_temporal_mu_7,-0.02956753,-0.01579646,-0.030966378
SIR-1S,11,delta_beta_temporal_mu_8,0.018977366,-0.004149468,0.005456711
SIR-1S,11,delta_beta_temporal_mu_9,0.069268605,0.096117104,0.057928974
SIR-1S,11,delta_beta_temporal_mu_10,0.047103448,0.023353394,0.009850988
SIR-1S,11,delta_beta_temporal_mu_11,0.00986587,0.026860539,-0.004311896
SIR-1S,11,delta_beta_temporal_sigma_0,0.007209732,0.03037833,0.03183979
SIR-1S,11,delta_beta_temporal_sigma_1,0.017816358,0.045152755,0.029818489
SIR-1S,11,delta_beta_temporal_sigma_2,0.022243689,0.076806215,0.04052155
SIR-1S,11,delta_beta_temporal_sigma_3,0.02589936,0.064623914,0.048684445
SIR-1S,11,delta_beta_temporal_sigma_4,0.038145078,0.022733544,0.049612677
SIR-1S,11,delta_beta_temporal_sigma_5,0.046583889,0.030053542,0.046656522
SIR-1S,11,delta_beta_temporal_sigma_6,0.097360772,0.180217895,0.1767042637231812
SIR-1S,11,delta_beta_temporal_sigma_7,0.017402779,0.043882769,0.033712365
SIR-1S,11,delta_beta_temporal_sigma_8,0.024092306,0.054566087,0.028572818
SIR-1S,11,delta_beta_temporal_sigma_9,0.045028319,0.063772753,0.04303883
SIR-1S,11,delta_beta_temporal_sigma_10,0.033934119,0.031391866,0.044169927
SIR-1S,11,delta_beta_temporal_sigma_11,0.032432882,0.055046083,0.038939034
SIR-1S,12,rho_h_s_0,0.2901621642782831,0.249309891,0.2003650278587497
SIR-1S,12,rho_h_scale_0,0.012358584,0.012758176,0.015053157
SIR-1S,12,f_R_mu_0,0.2858007602465963,0.313512403,0.3339238948294468
SIR-1S,12,f_R_sigma_0,0.033381809,0.041760388,0.020929684
SIR-1S,12,f_I_s_0,0.9625646,0.74242436,0.565817307
